Rule,Customer,Product_Group,Recency,Avg_Price_L3Y,Revenue_L12,Customer_Size,l3y_volume,standard_cost,l12_sales_vol,Current_Price,Subrules,lnvolume,lnAvg_Price_L3Y,term.x,elasticity,pinc,pinc_constrained
4,1995111,Product_A,11,"31,4",121,"1467,06","14,96",10,5,"34,54",NA,"2,70537997254633","3,44680789291421",lnAvg_Price_L3Y,"-0,507570374710529","0,629844772639901","0,196968438617991"
4,10149,Product_A,1,"28,6",116,"11167,05","16,22",10,"5,4","31,46",NA,"2,78624504868727","3,35340671782581",lnAvg_Price_L3Y,"-0,507570374710529","0,644017050853873","0,196968438617991"
4,2505278,Product_A,2,"29,9",112,"4075,05","3,74",10,"1,2","32,89",NA,"1,31908561142644","3,39785848039664",lnAvg_Price_L3Y,"-0,507570374710529","0,637106964892402","0,19696843861799"
4,14598,Product_A,2,"31,4",122,"3459,03","14,44",10,"4,8","34,54",NA,"2,67000213346468","3,44680789291421",lnAvg_Price_L3Y,"-0,507570374710529","0,629844772639902","0,19696843861799"
4,14635,Product_A,4,"26,8",119,"6125,17","76,61",10,"25,5","29,48",NA,"4,33872761652873","3,28840188751681",lnAvg_Price_L3Y,"-0,507570374710529","0,654691586630172","0,196968438617991"
4,15351,Product_A,5,29,108,"149,34","3,74",10,"1,2","31,9",NA,"1,31908561142644","3,36729582998647",lnAvg_Price_L3Y,"-0,507570374710529","0,641824885652304","0,19696843861799"
4,2359858,Product_A,3,25,105,"3878,41","15,39",10,"5,1","27,5",NA,"2,73371794785079","3,2188758248682",lnAvg_Price_L3Y,"-0,507570374710529","0,666903255558259","0,196968438617991"
4,2036395,Product_A,7,"43,7",105,667,"7,49",10,"2,5","48,07",NA,"2,01356879752913","3,77734810210154",lnAvg_Price_L3Y,"-0,507570374710529","0,589100051896929","0,196968438617991"
4,16092,Product_A,8,"25,9",109,"18492,93","189,72",10,"63,2","28,49",NA,"5,24554930100938","3,25424296870549",lnAvg_Price_L3Y,"-0,507570374710529","0,660585249240251","0,196968438617991"
4,2699170,Product_A,11,"33,9",127,"167,3","3,74",10,"1,2","37,29",NA,"1,31908561142644","3,5234150143864",lnAvg_Price_L3Y,"-0,507570374710529","0,619169278620741","0,19696843861799"
4,2748266,Product_A,1,"108,8",109,"141,47","3,74",10,"1,2","119,68",NA,"1,31908561142644","4,68951133442184",lnAvg_Price_L3Y,"-0,507570374710529","0,526863148606388","0,19696843861799"
4,2699696,Product_A,5,"27,4",123,"735,94","11,23",10,"3,7","30,14",NA,"2,41858876875035","3,31054301339402",lnAvg_Price_L3Y,"-0,507570374710529","0,650977575399001","0,196968438617991"
4,2404285,Product_A,4,"40,2",123,"268,51","3,05",10,1,"44,22",NA,"1,11514159061932","3,69386699562498",lnAvg_Price_L3Y,"-0,507570374710529","0,598156082333473","0,196968438617991"
4,2404451,Product_A,6,"34,8",107,"1725,22","16,33",10,"5,4","38,28",NA,"2,79300390698237","3,54961738678043",lnAvg_Price_L3Y,"-0,507570374710529","0,615701583666932","0,196968438617991"
4,20355,Product_A,3,34,120,"155,36","3,54",10,"1,2","37,4",NA,"1,26412672714568","3,52636052461616",lnAvg_Price_L3Y,"-0,507570374710529","0,618774913312268","0,19696843861799"
4,2408407,Product_A,9,"42,6",123,"725,76","7,9",10,"2,6","46,86",NA,"2,06686275947298","3,75185425327532",lnAvg_Price_L3Y,"-0,507570374710529","0,591785884666237","0,19696843861799"
4,2706874,Product_A,8,"27,8",122,"716,29","11,22",10,"3,7","30,58",NA,"2,41769790009455","3,32503602069659",lnAvg_Price_L3Y,"-0,507570374710529","0,648590632929087","0,196968438617991"
