Customer,Product_Group,Recency,Avg_Price_L3Y,Revenue_L12,Customer_Size,l3y_volume,standard_cost,l12_sales_vol,Current_Price,node,segment,lnvolume,lnAvg_Price_L3Y,lin_reg,elasticity,AVG_PE
10018,Product_A,9,29.3,243,38827.46,34.89,10,11.6,32.23,31.596296,0,3.5522002551986827,3.3775875160230218,"{'intercept_': 9.27666951451969, 'coef_': array([-1.45293861])}",9.27666951451969,6.710931309193553
10024,Product_A,5,53.6,627,4051.66,42.84,10,14.3,58.96,51.164471,6,3.757472245579548,3.9815490680767565,"{'intercept_': 7.352321168603478, 'coef_': array([-1.14285895])}",7.352321168603478,6.710931309193553
10031,Product_A,2,60.6,2362,12182.45,116.86,10,39.0,66.66,42.45049,3,4.760976637126291,4.104294893075269,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
10064,Product_A,5,39.8,336,31729.38,26.61,10,8.9,43.78,42.45049,3,3.281287084989598,3.6838669122903918,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
10117,Product_A,12,37.5,135,135.11,3.6,10,1.2,41.25,35.716822,1,1.2809338454620642,3.624340932976365,"{'intercept_': 3.968844375944699, 'coef_': array([-0.55282215])}",3.968844375944699,6.710931309193553
10147,Product_A,6,39.1,159,2723.91,19.13,10,6.4,43.01,41.500467,2,2.9512577834521614,3.66612246699132,"{'intercept_': 7.791230885275283, 'coef_': array([-1.52279876])}",7.791230885275283,6.710931309193553
10149,Product_A,1,28.6,116,11167.05,16.22,10,5.4,31.46,35.716822,1,2.7862450486872667,3.353406717825807,"{'intercept_': 3.968844375944699, 'coef_': array([-0.55282215])}",3.968844375944699,6.710931309193553
10201,Product_A,4,11.9,246,250180.1,99.39,10,33.1,13.09,31.596296,0,4.599051504979914,2.4765384001174837,"{'intercept_': 9.27666951451969, 'coef_': array([-1.45293861])}",9.27666951451969,6.710931309193553
10230,Product_A,1,60.3,1311,7035.29,77.31,10,25.8,66.33,51.164471,6,4.347823313332383,4.09933210373314,"{'intercept_': 7.352321168603478, 'coef_': array([-1.14285895])}",7.352321168603478,6.710931309193553
10243,Product_A,1,52.5,4230,23055.11,176.88,10,59.0,57.75,42.45049,3,5.175471536549191,3.960813169597578,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
10262,Product_A,9,39.5,157,7400.52,14.96,10,5.0,43.45,41.500467,2,2.7053799725463312,3.676300671907076,"{'intercept_': 7.791230885275283, 'coef_': array([-1.52279876])}",7.791230885275283,6.710931309193553
10302,Product_A,1,20.0,748,70006.04,37.4,10,12.5,22.0,31.596296,0,3.6216707044204863,2.995732273553991,"{'intercept_': 9.27666951451969, 'coef_': array([-1.45293861])}",9.27666951451969,6.710931309193553
13597,Product_A,2,26.9,1497,16955.38,124.53,10,41.5,29.59,42.45049,3,4.824546650733057,3.292126286607793,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
13827,Product_A,4,48.6,1008,25365.32,54.44,10,18.1,53.46,42.45049,3,3.9970991777832654,3.883623530906448,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
13886,Product_A,3,33.4,1066,18172.37,132.5,10,44.2,36.74,42.45049,3,4.886582645426277,3.5085558999826545,"{'intercept_': 5.242900417117241, 'coef_': array([-0.2691711])}",5.242900417117241,6.710931309193553
